County,City,avg_wage,deposite,FAI,Gov_Rev,Gov_Exp,GDP,GDPPC,GIO,Loan,NIPCR,Bed,Emp,EmpR,EmpRT,Pri_Stu,Sec_Stu,Household,Household_R,NOIP,Pop_R,RSCG,Pop_T,Agri,Service,Disp_Inc,RORP,ROREmp
Anhua,Yiyang,30544,10967,6831.7,456.72,2703,13225,14567,9276.9,3954.9,3528.3,2718,494.31,441.4,338,54.175,32.83,290.4,234.5,101,670.3,5760.6,910.8,4942.253,5414.5,12373,0.735946421,0.892961906
Anren,Chenzhou,28058,4598.9,6386.1,220.57,1454.7,4941.2,12761,4189.2,2555.3,3271.8,970,290.82,255.4,99.4,33.171,17.505,104.6,121.9,34,243.2,2386.4,388.7,2357.764,3814.1,16072,0.625675328,0.878206451
Anxiang,Changde,31935,5517.2,3541,243.64,1779.5,12482,23667,5108.9,2806.9,7693.7,1931,336.39,270.5,205.9,19.584,17.819,148.1,135.4,53,346,3957.9,528.3,4524.41,14100,16610,0.65493091,0.804126163
Baojing,Hunan West,30843,2250,1005.4,192.59,1379.1,4087.9,14563,3623.5,1253.7,4191.3,927,195.17,145.6,116.4,19.249,11.831,73.2,69.9,18,184.1,768.04,281.3,1118.561,541.8,13455,0.654461429,0.746016293
Chaling,Zhuzhou,31251,8241.4,6508.4,620.19,1947,11585,20078,9157.7,4287.4,3887.7,1449,330.29,299,154,33.906,20.548,148.7,139.4,106,301.6,4009.5,578.4,3793.55,5444,20461,0.521438451,0.90526507
Changning,Hengyang,28518,10860,7920,769.86,2631.6,19886,24418,37392,4242.8,9528,3605,548.61,415.1,273.7,81.831,44.485,211.2,211.7,115,448.2,5220.4,816.3,6430.782,13074.6,20868,0.549062845,0.756639507
Changsha,Changsha,54540,24332,33624,5350,7885.5,88009,88656,51361,40534,17070,3310,670.82,452,219.4,59.151,39.685,300.3,248.4,214,475.1,22604,998.6,13107.148,17726.6,183252,0.475766073,0.673802212
Chengbu,Shaoyang,28597,2580.6,1922.3,160.73,1191.6,2569.5,10132,1681.4,1232,3271.8,582,162.48,127.6,94.4,18.751,7.869,76.1,59.6,17,189.6,1173.8,256.7,1356.95,1215.1,12379,0.738605376,0.785327425
Chenxi,Huaihua,33580,4990,5818.4,460.49,1724.2,7755.2,17026,6644.5,3220,4777,2170,308.43,214.4,174.8,26.706,14.591,139.5,110.5,55,311.7,2570.6,456.7,2257.52,1306.3,14595,0.682504927,0.695133418
Cili,Zhangjiajie,33099,8116.9,4498.1,499.77,2306.2,11378,18714,5843.3,5503.4,5031.8,2179,381.2,334.8,264.3,34.918,27.02,211.4,174.5,70,379.4,3116.9,610.4,3112.731,5005.6,15603,0.621559633,0.878279119
Dao,Yongzhou,32541,7245,7922,461.66,2013.5,11034,18059,2393.8,2873.5,9000,1588,381.53,344.3,178.3,65.79,31.43,158.7,157.9,44,388.2,2898.8,613.6,5602.035,8411.1,16305,0.632659713,0.902419207
Dongan,Yongzhou,36713,6549.3,9158,434.07,1720.6,11495,20901,11597,3320.6,9116.7,1305,322.25,278.1,163.6,39.419,20.661,166.5,163,84,366,3106.3,551.2,4866.481,6784.4,20265,0.664005806,0.862994569
Dongkou,Shaoyang,31483,9489.6,8703.2,374.96,2209.5,10286,13240,10568,4120.3,3792.5,1620,583.56,499.2,263.2,69.845,43.194,262.4,220.4,74,523.1,3229.1,780.9,6025.184,9116.8,15375,0.669868101,0.855439029
Fenghuang,Hunan West,31608,4008.7,2550,406.51,1763.6,4681.2,13382,848.99,2863,4681.2,1212,250.73,195.4,151.8,33.379,17.69,90.1,80.5,17,255.5,2605.4,351.3,1206.261,651.1,14281,0.727298605,0.779324373
Guidong,Chenzhou,30149,2200.1,2512.9,111.19,880,1955.9,8497,1202.6,1437.2,3130.4,567,138.53,115.2,56.9,13.437,7.091,64.8,65.4,14,150.1,486.1,231.8,630.016,911.1,12290,0.647540984,0.831588826
Guiyang,Chenzhou,41394,9664.8,15712,1309.2,2727.5,23023,32853,36820,4860.1,10271,2237,517.18,430.9,242,69.344,33.568,231.8,217.5,127,420.4,6281.8,704.1,8804.639,14791.5,64517,0.597074279,0.833172203
Guzhang,Hunan West,28610,1563.8,1021.7,108.4,959.6,1490.4,11580,513.95,849.56,3595.9,392,98.421,74.6,56.7,8.718,6.288,35.2,31.4,10,85.2,354.48,129,527.23,504,11954,0.660465116,0.75796832
Hanshou,Changde,32265,7979,8665,386.13,2062.4,15788,20981,13491,4550,8269.9,2560,456.78,388.8,246.7,42.097,33.029,240.2,208.7,95,553.2,4460.5,804.6,6545.35,17727,18925,0.687546607,0.851175621
Hengdong,Hengyang,30992,8661,6665,542.25,1937.4,17409,27485,17305,4118,10829,1859,388.34,284.5,201,48.983,36.12,164.4,167.4,96,426.4,5127,634.9,5972.961,11278.5,19800,0.671601827,0.732605449
Hengnan,Hengyang,28031,3288.9,9531.4,804.91,2894.4,21019,21911,20953,4013,9872.9,2173,601.57,503.6,354,76.933,57.519,256,274.3,118,629.1,5752.6,961.4,8624.68,15914,18683,0.654358228,0.83714281
Hengshan,Hengyang,28688,5944.6,4871.1,451.46,1393.7,9718.9,25172,8571.5,2221.5,10619,966,291.12,261.9,158.8,28.997,20.909,103.7,101,89,256.4,1713.7,387,3505.269,6233.5,17732,0.6625323,0.899629019
Hengyang,Hengyang,27760,14680,11145,597.66,2778.8,21495,19382,18288,5549.6,10313,2632,686.52,500.2,313.6,88.917,64.674,299.2,247.7,120,733.4,5386.3,1111.6,12451.938,23139.2,124392,0.659769701,0.728602226
Hongjiang,Huaihua,37686,5966,6515.5,623.95,2067.8,7355.5,17733,13750,3272.2,6553.5,1161,229.4,199.9,132,23.614,18.837,136.1,124.7,76,260.9,1744.2,415.8,2588.25,202.8,27334,0.627465127,0.871403662
Huarong,Yueyang,26832,8116.4,14292,365.84,1933.9,21654,30413,40193,4564.8,10367,1500,442.97,359.2,252.9,31.601,26.933,202.3,170.2,151,430.3,6348.9,714.1,7690.52,10050.6,21501,0.60257667,0.810890128
Huayuan,Hunan West,31708,3669.8,2200,331.78,1503.7,5905.9,20337,9257.6,2463.6,4353.8,1240,214.79,149.8,94.9,23.831,14.031,76.9,59.9,74,188.1,1024.7,291.1,883.722,533.2,15467,0.646169701,0.697425392
Huitong,Huaihua,33693,4615,2617.4,295,1306.7,4588.3,14334,2095.6,1369.3,4631.9,1194,246.15,193.5,143.7,20.603,13.337,96.7,114.4,25,234.5,1061.7,320.9,1580.09,5.2,13989,0.730757245,0.786106033
Jiahe,Chenzhou,36023,5493.1,4864.3,453.68,1331.5,9608.2,32091,14882,1906.5,7903.3,719,242.8,198.9,83,36.054,19.497,99,108.5,100,179.6,1365.9,301.3,2276.272,3230.2,17744,0.596083638,0.819192751
Jianghua,Yongzhou,34378,4586.4,4631.5,309.7,1651.4,6555.9,15801,3357.1,2976,3225.3,1663,306.31,272.7,188.9,37.494,20.644,109.9,116.1,33,285.1,2384.8,416.7,3272.511,10533.8,16274,0.684185265,0.890274558
Jiangyong,Yongzhou,30250,3198.2,3942.5,187.23,1009.1,4012.2,17168,2022.7,1201.2,3253.9,720,153.58,132.8,94.3,21.936,11.093,68.3,61.2,25,163.5,1238.2,234.3,2862.901,9773.3,16634,0.697823303,0.864695924
Jingzhou,Huaihua,33870,3592.8,2031.4,237.51,1129,5007.7,20348,4534.1,1566.5,5397.3,1054,163.91,112.6,85.8,16.978,11.446,69.1,56.1,32,140.6,1611.5,246.7,1769.328,337.5,12859,0.569922983,0.686962357
Jinshi,Changde,28692,4581.7,4777,373.31,1148.4,8706.9,34592,10935,2242,8169.9,848,122.78,82.1,61.7,8.723,7.592,81.9,43.7,77,92.4,3683,251.8,2562.46,7525,19498,0.366957903,0.66867568
Jishou,Hunan West,39816,9586.2,5235,470.22,1738.2,9631.5,31537,6345.7,8282.9,4823,3790,213.42,97,62.4,25.454,21.941,99.2,46.5,49,85.2,5651,306.6,849.01,611.6,17980,0.277886497,0.454502858
Lanshan,Yongzhou,33756,4236,3986.7,296.68,1194.6,6627.2,20088,5392.1,1599.4,8672.1,1144,233.39,201.5,131.6,32.448,16.299,83.3,90.7,52,198.2,2234.2,330.9,2262.021,10341.9,19161,0.598972499,0.863361755
Leiyang,Hengyang,32814,15393,18687,1535.2,3819,30213,26105,42707,7409.2,10611,2531,750.12,553.7,405.8,112.2,56.35,338.1,281.2,155,629.3,7268.1,1160.2,8349.199,19981.6,19634,0.542406482,0.738148563
Lengshuijiang,Loudi,35647,6805.3,9746.8,1054.2,2105.3,21243,64257,36926,8936.6,10441,1413,191.32,101.8,61.8,29.639,20.113,112.4,56.9,118,78.4,5750.6,332.6,1277.869,991.8,23120,0.235718581,0.532092829
Li,Changde,32541,13487,16066,709.61,2459.5,20322,24473,18402,6748,8377,2038,513.44,426.8,227.1,38.975,33.938,268.5,256,96,539.7,7110.2,832.5,7562.34,53160,18985,0.648288288,0.831255843
Lianyuan,Loudi,30320,8059.7,9255.3,707.45,3298.6,18340,18346,20515,7243.2,4307.7,2260,706.84,612.9,344.1,71.232,53.597,316.2,298.7,154,712.6,6889,1001.5,7642.158,5965.4,38131,0.711532701,0.867098636
Liling,Zhuzhou,42896,12865,19125,2602.6,4221.4,39553,41491,57146,9398.1,13347,2797,639.83,513.1,212.1,53.992,33.705,248.4,229.7,482,473.2,11213,958,5373.99,17378,24185,0.49394572,0.801931763
Linli,Changde,32667,564.1,7781.2,336.86,1538.7,10355,25554,8214,358,8143.1,1440,307.36,272.2,100.8,23.286,18.943,129.1,157.2,99,246.6,3604.9,409.3,3583.91,7031,18604,0.60249206,0.885606455
Linwu,Chenzhou,32031,5984,5734.3,478.92,1435.2,8191.1,23986,6250.7,2152.7,7102.2,959,215.3,184.1,90.2,41.913,13.238,101.5,88,67,227.5,2023.3,342.8,1606.947,2632.2,17966,0.663652275,0.855085927
Linxiang,Yueyang,31669,5850.5,10852,319.2,1609,15968,31897,29988,3788.2,9739,1289,293.5,212.5,98.8,36.202,23.831,138.6,136.7,123,286.1,4598.8,502.3,3357.477,2994.6,20628,0.569579932,0.724020443
Liuyang,Changsha,40446,21415,43599,2473.1,4605.5,81113,63118,99254,23408,15719,6225,919.62,721.4,300.1,90.978,58.819,374.8,369.8,733,642.7,16233,1285.5,10844.47,26617.8,27345,0.499961105,0.784454449
