Type,Latitude,Longitude,Date,Time,Descriptions
Roadwork,1.265949164,103.8237682,12/2/18,11:51:00 PM,Roadworks on Telok Blangah Road (towards City) after Sentosa Gateway. Avoid right lane.
Roadwork,1.329472056,103.8509626,12/2/18,11:50:00 PM,Roadworks on PIE (towards Tuas) after Toa Payoh Exit. Avoid lane 4.
Roadwork,1.295702625,103.8933166,12/2/18,11:49:00 PM,Roadworks on ECP (towards Changi Airport) before Tg Katong Rd Exit. Avoid lane 1.
Accident,1.321301695,103.9051718,12/2/18,11:47:00 PM,Accident on Jalan Eunos (towards Hougang) after Changi Road.
Roadwork,1.322489103,103.6984058,12/2/18,11:47:00 PM,Roadworks on AYE (towards Tuas) after Pioneer Rd Exit. Avoid lane 1.
Roadwork,1.289173434,103.8436113,12/2/18,11:45:00 PM,Roadworks in CTE Tunnel (towards AYE) at Merchant Road Entrance. Merchant Road Entrance closed.
Roadwork,1.33299554,103.8625227,12/2/18,11:33:00 PM,Roadworks on CTE (towards AYE) at PIE(Changi) Exit.
Roadwork,1.343494306,103.8927435,12/2/18,11:32:00 PM,Roadworks on Kim Chuan Road (towards Bartley Road East). Avoid left lane.
Roadwork,1.353481933,103.7877618,12/2/18,11:23:00 PM,Roadworks on BKE (towards PIE) before PIE Exit. Avoid lane 3.
Roadwork,1.306598251,103.9144971,12/2/18,11:14:00 PM,Roadworks on Marine Parade Road (towards Telok Kurau Road) after Marine Terrace. Avoid left lane.
Roadwork,1.366211851,103.9068623,12/2/18,11:14:00 PM,Roadworks on KPE (towards ECP) at Tampines Road Exit.
Roadwork,1.3020147,103.8374102,12/2/18,11:08:00 PM,Roadworks on Orchard Road (towards Bras Basah Rd) after Bideford Road.
Roadwork,1.334616691,103.760309,12/2/18,11:06:00 PM,Roadworks on PIE (towards Tuas) at Bukit Batok East Ave 3 Exit.
Roadwork,1.322275637,103.7012262,12/2/18,11:05:00 PM,Roadworks on AYE (towards MCE) after Pioneer Rd Exit. Avoid lane 4.
Accident,1.396540918,103.8505954,12/2/18,11:03:00 PM,Accident on SLE (towards CTE) before TPE Exit. Avoid lane 1.
Roadwork,1.3020147,103.8374102,12/2/18,11:08:00 PM,Roadworks on Orchard Road (towards Bras Basah Rd) after Bideford Road.
