Type,Latitude,Longitude,Date,Time,Descriptions
Roadwork,1.388998762,103.759469,22/2/2018,11:54:00 PM,Roadworks on KJE (towards PIE) at Woodlands Rd Exit.
Roadwork,1.306771422,103.915221,22/2/2018,11:51:00 PM,Roadworks on Marine Parade Road (towards Telok Kurau Road) after Marine Terrace.
Accident,1.319629302,103.8536844,22/2/2018,10:33:00 PM,Accident on CTE (towards SLE) after Moulmein Rd Exit with congestion till Kramat Rd Entrance. Avoid lanes 1 and 2.
Roadwork,1.298530385,103.7811355,22/2/2018,11:19:00 PM,Roadworks on AYE (towards Tuas) after Buona Vista exit.
Roadwork,1.310778139,103.9407479,22/2/2018,11:19:00 PM,Roadworks on ECP (towards Changi Airport) after Bayshore Rd Exit. Avoid lane 3.
Roadwork,1.354623482,103.8326855,22/2/2018,11:17:00 PM,Roadworks on Upper Thomson Road (towards Newton) after Bright Hill Drive. Avoid left lane.
Roadwork,1.265405472,103.8246258,22/2/2018,11:10:00 PM,Roadworks in Sentosa Gateway Tunnel. Sentosa Gateway Tunnel closed.
Roadwork,1.356921372,103.8570924,22/2/2018,11:03:00 PM,Roadworks on CTE (towards AYE) after AMK Ave 1 Exit. Avoid lane 3.
Roadwork,1.336184531,103.9048841,22/2/2018,11:00:00 PM,Roadworks on Kaki Bukit Avenue 3 (towards Kaki Bukit Road 3) after Kaki Bukit Crescent. Avoid right lane.
Roadwork,1.297729918,103.8550844,22/2/2018,10:59:00 PM,Roadworks on North Bridge Road near Middle Road/North Bridge Road Junction.
Roadwork,1.297766004,103.8549664,22/2/2018,10:59:00 PM,Roadworks on Middle Road near Middle Road/North Bridge Road Junction.
Roadwork,1.334285167,103.761135,22/2/2018,10:55:00 PM,Roadworks on PIE (towards Tuas) at Bukit Batok East Ave 3 Exit.
Roadwork,1.326811946,103.8298201,22/2/2018,10:53:00 PM,Roadworks on PIE (towards Tuas) after Thomson Rd Exit. Avoid lane 4.
Roadwork,1.292740066,103.8441789,22/2/2018,10:49:00 PM,Roadworks on River Valley Road (towards Clarke Quay) after Clemenceau Avenue. Avoid left lane.
Roadwork,1.397568585,103.8536309,22/2/2018,10:48:00 PM,Roadworks on SLE (towards CTE) before TPE Exit. Avoid lane 1.
Roadwork,1.397539192,103.8538406,22/2/2018,10:37:00 PM,Roadworks on SLE (towards BKE) after TPE Exit. Avoid lane 1.
Roadwork,1.396462994,103.8436023,22/2/2018,10:35:00 PM,Roadworks on SLE (towards BKE) after TPE Entrance. Avoid lane 5.
Roadwork,1.333743645,103.8138162,22/2/2018,10:34:00 PM,Roadworks on PIE (towards Changi Airport) before Lornie Rd. Avoid lane 2.
Roadwork,1.336315616,103.9409245,22/2/2018,10:27:00 PM,Roadworks on PIE (towards Tuas) after Tampines. Avoid lane 3.
Roadwork,1.321626737,103.8234904,22/2/2018,10:26:00 PM,Roadworks on Dunearn Road (towards City) at Wayang Satu Flyover. Avoid right lane.
Roadwork,1.348353101,103.7921687,22/2/2018,10:21:00 PM,Roadworks on BKE (towards Woodlands) after PIE Entrance.
